SOC,Description
43-4051,Customer Service Representatives
13-2011,Accountants and Auditors
11-1021,General and Operations Managers
43-3031,"Bookkeeping, Accounting, and Auditing Clerks"
11-3031,Financial Managers
13-1199,"Business Operations Specialists, All Other"
15-1121,Computer Systems Analysts
13-1161,Market Research Analysts and Marketing Specialists
43-1011,First-Line Supervisors of Office and Administrative Support Workers
15-1132,"Software Developers, Applications"
43-9061,"Office Clerks, General"
13-1071,Human Resources Specialists
13-1111,Management Analysts
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
13-1020,Buyers and Purchasing Agents
11-3021,Computer and Information Systems Managers
13-2051,Financial Analysts
11-9199,"Managers, All Other"
11-2021,Marketing Managers
43-6011,Executive Secretaries and Executive Administrative Assistants
15-1151,Computer User Support Specialists
11-2022,Sales Managers
15-1142,Network and Computer Systems Administrators
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
43-3021,Billing and Posting Clerks
